DIAGNOSIS,count
ESOPHAGEAL CANCER & TRACHEOESOPHAGEO FISTULA,1
OPEN WOUND LEFT FOOT/SDA,1
TRACHEOBRONCHIAL MALACEA/SDA,1
INFECTION;ACUTE RENAL FAILURE,1
ANEMIA;FEVER,1
WOLFF PARKINSON WHITE SYNDROME,1
T11 FRACTURE-AORTIC DISECTION,1
ASTHAMA,1
S/P LIVER TRANSPLANT;GI BLEED,1
RENO STAGE- LIVER DISEASE,1
RIGHT HEPATIC DUCT STRICTURE/SDA,1
TRAUMA;SAH,1
"PNA, CHF",1
PNEUMONIA; UTI,1
MOTOR VEHICLE CRASH;HYPOTENSION,1
CORONARY ARTERY DISEASE;AORTIC STENOSIS;MR\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT;MITRAL VALVE REPLACEMENT/SDA,1
CONGESTIVE HEART FAILURE;ATRIAL FIBRILATION,1
GATROINTESTIONAL BLEEDING,1
R/O FLU; AML,1
S/P PACEMAKER;PLEURAL EFFUSION;SP PNEUMOTHORAX\PERICARDIOCENTESIS,1
TRACHEBRONCHIALMALACIA/SDA,1
CHEST PAIN/CABG,1
CAROTID ARTERY DISEASE;ATRIAL FIBRILLATION;STATUS POST STROKE\CAROTID INTERVENTION,1
MITRAL STENOSIS\MITRAL VALVULOPLASTY,1
"PNEUMONIA, COPD EXACERBATION",1
NECK INJURY,1
NON SMALL CELL LUNG CA,1
S/P MOTOR VEHICLE ACCIDENT;RIB FRACTURE;CLAVICLE RACTURE,1
S/P FALL C1 FRACTURE,1
CORONARY ARTERY DISEASE\ BENTAL HOMOGRAFT PROCEDURE;CORONARY ARTERY BYPASS GRAFT; RADIAL ARTERY; LEFT INTERNAL MAMMARY ARTERY/SDA,1
TRACHIOBRONCHOMALACIA/SDA,1
CHRONIC LYMPHOCYTIC LEUKEMIA;SHORTNESS OF BREATH,1
AORTIC INSUFFICENCY\MEDIASTINOSCOPY; BRONCHOSCOPY FLEXIBLE; CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,1
"CVA,INTRACRANIAL HEMORAGE",1
GASTRIC OUTLET,1
AORTIC STENOSIS;MITRAL STENOSIS\AORTIC VALVE REPLACEMENT; WITH MITRAL VALVE REPLACEMENT/SDA,1
"ACUTE RENAL FAILURE,SEPSIS",1
CHEST PAIN-R/O MYOCARDIAL INFARCTION\CARDIAC CATH,1
V -TACH ARREST,1
SEPSIS; UTI; PYELONEPHRITIS,1
AV GRAFT THROMBECTOMY,1
FEMUR FRACTURE-COLLAPSED LUNG,1
INCISIONAL HERNIA; PERIPANCREATIC PSEUDO CYST/SDA,1
"SEIZURE,FEVER",1
STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES;HEAD TRAUMA,1
PULMONARY EFFUSION;TELEMETRY,1
TRAUMA;S/P ASSAULT,1
"GLIOBLASTOMA,NAUSEA",1
TAMPONADE S/P PACEMAKER PLACEMENT,1
OPEN WOUND CHEST WALL/SDA,1
AORTIC STENOSIS\AVR STANDARD KHABBAZ /SDA,1
PAROTITIS;MRSA,1
MILD ABDOMINAL PAIN,1
ETOH WITHDRAWEL;LIVER FAILURE;RENAL FAILURE;ENCEPHALOPATHY,1
AORTIC STENOSIS\AVR; ? ASCENDING AORTA REPLACEMENT,1
RECURRENT LUNG CANCER/SDA,1
ALCOHOL WITHDRAWL;CARDIOMYOPATHY;VENTRICULAR TACHYCARDIA,1
"FEVERS, A-FIB, RVR",1
LIVER FAILURE; VARICEAL BLEED,1
R/O MYASTHENIA GRAVIS,1
CHEST PAIN-CONGESTIVE HEART FAILURE,1
OVARIAN HYPERSTIMULATION,1
STATUS EPI,1
CORD COMPRESSION ,1
HYPOTENSION-END STAGE RENAL CANCER,1
ENDOCARDITIS\TRICUSPID VALVE REPLACEMENT,1
SPINA BIFIDA-TRACHEAL OBSTRUCTION,1
HYPOXIA; CHF,1
CHEST WALL ABSCESS,1
"AORTIC STENOSIS\RE-DO STERNOTOMY, AORTIC VALVE REPLACEMENT /SDA",1
BILATERAL NON HEALING ULCERS,1
NEOPLASM OF LEFT RETRO PERITONEAL /SDA,1
INTRAPRANCHYMAL BLEED,1
AIRWAY OBSTRUCTION\BRONCHOSCOPY FLEXIBLE AND RIGID; STENT PLACEMENT; EXTERNAL FIXATION,1
HEPATOBILIARY FAILURE,1
RENAL CELL CANCER/SDA,1
DIABETIC KETOACIDOSIS;PNEUMOMEDIASTINUM,1
ETOH W D;COMPRESSION FX,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR REDO; ? AVR/SDA,1
OVARIAN CANCER\CHEMOTHERAPY,1
ACUTE CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT ,1
"CORONARY ARTERY DISEASE\LEFT INTERNAL MAMMARY ARTERY, LEFT ANTERIOR DESCENDING INTERVENTION",1
SEVERE HEART FAILURE;ALTERED MENTAL STATUS,1
STOMACH MASS,1
ENLARGED PROSTATE/SDA,1
DKS/GASTROPARESIS,1
RIGHT HIPOA/SDA,1
TRICUSPID VALVE DISORDERS\REDO STERNOTOMY; TRICUSPID VALVE REPLACEMENT /SDA,1
TRACHEOBRONCHIALMALACHIA,1
PERIPHERAL VASCULAR DISEASE\LOWER EXTREMITY ANGIOGRAM,1
LIVER FAILURE;VICODIN OVERDOSE,1
IRREGULAR RHYTHM,1
S/P ASSULT,1
SEPISI/RESPIRATORY ARREST,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;  ? AORTIC VALVE / ?ASCENDING AORTA REPLACEMENT /SDA,1
HEPATIC ENCEPHALOPATHY;S/P TRANSPLANT,1
EPISTAXIS;THROMBOCYTOPENIA,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; PULMONARY VALVE REPLACEMENT AICD PLACEMENT/SDA,1
CHEST WALL LESION,1
MYASTHENIA FLARE,1
COMMON BILE DUCT DILATION,1
UNKNOWN BRAIN TUMOR/SDA,1
PELVIC INFECTION,1
LIVER TRANFER,1
NAUSEA W\VOMITTING,1
NSTEM;? ENDOCARDITIS,1
END STAGE RENAL DISEASE;DELIRIUM;DIABETES MELLITUS,1
"SCOLIOSIS,STENOSIS/SDA",1
GI PERFORATION,1
DIAHRREA,1
SEPSIS;UGIB,1
MALLERY-WEISS TEAR,1
"ADENOCARCINOMA, ESOPHAGUS/SDA",1
HYPERGLYCEMIA;VOMITING,1
MR\MITRAL VALVE ANNULOPLASTY; HEART PORT MINIMALLY INVASIVE/SDA,1
SUBDURAL HEMORRHAGE;INTRAPARENCHYMAL HEMORRHAGE,1
POLYP ADENOMATOUS/SDA,1
BILE LEAK;ACUTE RENAL FAILURE;PNEUMONIA;HYPERTENSION\ERCP,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT & CONCOMINANT MAZE PROCEDURE/SDA,1
COLO-URETERAL FISTULA/SDA,1
ALTERED MENTAL STATUS;HYPERTENSION;BRADYCARDIA,1
ETOH/COCAINE,1
CORONARY ARTERY DISEASE;SHORTNESS OF BREATH;CHEST PAIN\LEFT HEART CATH,1
CORONARY ARTERY DISEASE;AORTIC STENOSIS\AORTIC VALVE REPLACEMENT; ? CORONARY ARTERY BYPASS GRAFT/SDA,1
"AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT, RE-DO;AORTIC VALVE REPLACEMENT",1
LUNG CANCER W/ SPINAL INVASION/SDA,1
HIP FX;FACIAL TRAUMA,1
CANCER,1
LIVER CIRRHOSIS,1
AORTIC STENOSIS\? CORONARY ARTERY BYPASS GRAFT WITH AVR/SDA,1
PNEUMONIA;PANCREATIC MASS,1
VAGINOENTERIC FISTULA,1
COMMON BILE DUCT STONE;ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,1
VENTRICULAR TACHYCARDIA\EP STUDY/ABLATION,1
CIIRRHOSIS; RENAL FAILURE,1
SUBDURAL HEMORRHAGE;GLUTEAL HEMATOMA;ALTERED MENTAL STATUS,1
ASCENDING THORASIC ANEURYSM,1
"SUBARACHNOID HEM., WITH FACIAL FXS",1
"PULMONARY EDEMA,ARF",1
MELANOMA ORAL CAVITY/SDA,1
CHOLECYTITIS,1
METASTATIC COLON CANCER TO LIVER /SDA,1
MOTORCYCLE ACCIDENT;TELEMETRY,1
SRTROKE/TIA,1
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT;MITRAL VALVE REPLACEMENT; ?/SDA,1
PONTINE HEMORRAGE,1
R/O CORD COMPRESSION',1
CONGESTIVE HEART FAILURE-COPD,1
HYPERPARATHYROIDISM;RIGHT THYROID MALIGNANT NEOPLASM/SDA,1
"3RD DEGREE HEART BLOCK, AORTIC VEGETATION",1
AORTIC STENOSIS\REDO STENOTOMY/AVR/SDA,1
ABDOMINAL ABSCESS;BACTEREMIA,1
"ABD PAIN, MASTOCYTOSIS",1
"CHANGE IN MENTAL STATUS,SEIZURE",1
PLEURAL EFFUSION;SHORTNESS OF BREATH,1
ACUTE LYMPHOCYTIC LEUKEMIA;FEVER;NEUTROPENIA,1
THORACIC FX/SDA,1
NON-Q-WAVE MYOCARDIAL INFARCTION\RIGHT AND LEFT HEART CATH,1
FEVERS;SEIZURES,1
POPLITEAL TRANSECTION,1
CORONARY ARTERY DISEASE;CHEST PAIN;CONGESTIVE HEART FAILURE,1
RIGHT FRONTAL PARIETAL INTERCRANIAL HEMORRHAGE,1
AORTIC STENOSIS & MITRAL REGURGITATION\AORTIC AND MITRAL VALVE REPLACEMENT; ? CORONARY ARTERY BYPASS GRAFT ,1
CORONARY ARTERY DISEASE; CAROTID STENOSIS LEFT\CORONARY ARTERY BYPASS GRAFT  ENDARTERECTOMY CAROTID LEFT/SDA,1
RESPIRATORY FAILURE; TRACHEOBRONCHOMALACIA,1
SPINAL FRACTURE-PELVIC FRACTURE,1
ASCITES-LIVER CONGESTION,1
CAROTID ARTERY STENOSIS\CAROTIC ANGIOGRAM,1
"RENAL FAILURE, MS CHANGE",1
C4-C5 SUBLUXATION,1
WEAKNESS;LETHARGY,1
RENAL ARTERY STENOSIS\REANL ANGIOGRAM;RENAL STENT,1
CHARCOT MARIE TOOTH;ARDS;ATN;OSTEOGENESIS IMPERFECTA,1
THREE VESSEL CORONARY DISEASE,1
HEPATIC MASSES,1
DYSPNEA ON EXERTION;POSITIVE STRESS TEST\CATH,1
SEVERE HYPERTROPHIC CARDIOMYOPATHY\LEFT HEART CATH,1
RENAL CELL CARCINOMA;CHEMO,1
CAROTID ARTERY STENOSIS\CAROTID ARTERY ANGIOGRAM;STENT PLACEMENT/SDA,1
MET RENAL CELL CA-TRACHEL OBSTRUCTION,1
SHORTNESS OF BREATH;ACUTE RENAL FAILURE,1
NON-Q WAVE MI,1
R/O SEPSIS-DKA-IMMUNO SUPRESSED KIDNEY TX,1
DIABECTIC KETOACIDOSIS,1
CHOLEDOCHAL CYST;ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY;SPHINCTEROTOMY,1
STERNAL FRACTURE;EPIDERMAL HEMATOMA,1
"HYPERNATREMIA,FEVERS",1
HYPOTENSION;ACUTE CORONARY SYNDROME,1
WOLLFE-PARKINSON-WHITE SYNDROME;SUPRAVENTRICULAR TACHYCARDIA\EP STUDY WITH ABLATION,1
CHRONS DISEASE,1
L1 FRACTURE/SDA,1
VENTRICULAR TACHYCARDIA;SHORTNESS OF BREATH; ABNORMAL STRESS TEST\CARDIAC CATHETERIZATION,1
REGURGITAION\MITRAL VALVE REPLACEMENT/SDA,1
PERICARDITIS;PERICARDIAL EFFUSION,1
"MENTAL STATUS CHANGES, FEVER",1
DEGENERATIVE SCOLIOSIS & SPINAL STENOSIS/SDA,1
PERIPHERAL VASCULAR DISEASE;FEMUR FRACTURE;ORBITAL FRACTURE,1
NSTEMI/CHF EXACERBATION,1
ROTATOR CUFF TEAR;RIGHT SHOULDER,1
S/P MVA-C5-6 FX-RT1ST LT CLAVICLE,1
"RECURRENT CAROTID STENOSIS, LEFT\ CAROTID ANGIOGRAM, LEFT; ? STENT PLACEMENT",1
LEFT SUBCLAVIAN DEEP VEIN THROMBOSIS,1
TREMOR;BRAIN TUMOR,1
T-SPINE INFECTION,1
CHR/SDA,1
POSITIVE EXERCISE TOLERANCE TEST\LEFT HEART CATHETERIZATION,1
METASTATIC MELANOMA;PAIN CONTROL,1
BARRETTS ESOPHAGUS\ENDOSCOPY WITH RADIO FREQUENCY ABLATION,1
MITRAL REGURG;RHEUMATIC HEART DISEASE\RIGHT HEART CATH,1
"S/P FALL,SDH,SAH",1
CORONARY STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT REDO; ? CORONARY ARTERY BYPASS GRAFT WITH AVR REDO /SDA,1
HERPES ZOSTER,1
ACUTE RENAL FAILURE;HYPERKALEMIA;ELEVATED INR,1
MITRAL VALVE REGURGETATION\AORTIC VALVE REPLACEMENT;MITRAL VALVE REPLACEMENT/SDA,1
AORTIC STENOSIS\? CORONARY ARTERY BYPASS GRAFT WITH AVR ,1
PULMONARY HYPERTENSION\RIGHT HEART CATH,1
HYPERTRNSIVE EMERGENCY.SEIZURE,1
INTERMITTENT CHEST PAIN,1
INTRA CEREBRAL LESION,1
PACEMAKER FAILURE;TELEMETRY,1
METASTATIC RENAL CELL CARCINOMA\CHEMOTHERAPY (HD-IL2),1
FEVER;MYELOMA,1
UPPER GI BLEES,1
CORONARY ARTERY DISEASE;SHORTNESS OF BREATH\CATH,1
DEHYDRATION;THROAT CANCER,1
SECOND DEGREE ESOPHAGEAL CANCER,1
S/P MOTOR VEHICLE ACCIDENT;PELVIC FRACTURE,1
SUBDURAL SUBARACHNOID,1
R/O MYOCARDIAL INFARCTION-FAILURE TO THRIVE,1
CONGESTIVE HEART FAILURE;NEW MI\CATH,1
"SCLOLIOSIS, STENOSIS/SDA",1
NON SMALL CELL LUNG CANCER;ESOPHAGEAL STRUCTURE,1
VAGINAL BLEEDING;TELEMETRY,1
HYPERGLYCEMIA;PNEUMONIA;RENAL FAILURE,1
CORONARY ARTERY DISEASE/CONGESTIVE HEART FAILURE,1
HEART FAILURE\LEFT VENTRICULAR LEAD PLACEMENT VIA LEFT THORACOTOMY /SDA,1
"AORTIC DISSECTION, TYPE B",1
RIGHT FLANK PAIN,1
ABDOMINAL PIAN;R/O BILE LEAK\ERCP,1
CONGESTIVE HEART FAILURE\THORACOSCOPIC LEFT VENTRICULAR LEAD PLACEMENT;? THORACOTOMY ? THORACOSCOPIC EPICARDIAL LEAD W/ OR WITHOUT ENDOVASCULAR LEAD/SDA,1
PROGRESSIVE ANGINA;CORONARY ARTERY DISEASE\CARDIAC CATH,1
VENTRAL HERNIA; ENTEROCUTANEOUS FISTULA/SDA,1
THORACIC AORTIC ANEURYSM\ RESECTION ANEURYSM THORACIC; LEFT CHEST/SDA,1
DISSECTING THORACIC ANEURYSM,1
CHF;SEIZURE,1
TRACHEOBRONCHAL MALACIA,1
ICD LEAD COMPLICATION\ICE LEAD EXTRACTION W/ICD REIMPLANTATION /SDA,1
IPH;BRAIN METS,1
REPIRATORY FAILURE,1
ENDOVASCULAR ANEURYSM\ENDOVASCULAR THORACIC ANEURYSM REPAIR /SDA,1
"PNEUMONIA,ARRYTHMIA,R/O MI",1
ANGINA\ANGIOPRAM/ANGIOPLASTY,1
MISFIRING AICD,1
SUBARACHNOID HEMORRHAGE;SKULL FX,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; LEFT VENTRICULAR OUT-FLOW TRACT MASS RESECTION ,1
CONGESTIVE HEART FAILURE;VS;PNEUMONIA,1
MORBID OBESITY;INCISIONAL HERNIA;GALLSTONES/SDA,1
ENDSTAGE LIVER/KIDNEY DISEASE/TRANSPLANT,1
RESPIRATORY FAILURE;SUBGLOTTIC STENOSIS,1
"AORTIC STENOSIS, CAD\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT/SDA",1
INTRACRANIAL HEMORRHAGE-S/P FALL,1
RECURRENT MEDIASTINAL CARCINOID TUMOR/SDA,1
"MITRAL STENOSIS\MITRAL VALVE REPAIR, ? REPLACEMENT ",1
LOWER GASTROINTESTINAL BLEEDING,1
INTRACRANIAL HEMORRHAGE;ENDOCARDITIS,1
S/P AORTO FEMORAL BYPASS,1
UNSTABLE ANGINA;NON Q WAVE MI\CATH,1
FAILED GRAFT/SDA,1
LIVER TRANSPLANT WORK UP,1
"URINARY TRACT INFECTION,HYPOGLYCEMIA",1
LYMPHOMA;CHEMOTHERAPY,1
DIABETIC KETOACIDOSIS;HEMATEMESIS,1
GASTROINTESTINAL PERCUTANEOUS FISTULA,1
22 WEEKS PREGNANT;ULCER FLARE,1
RENAL FAILURE;KIDEY TRANSPLANT,1
UNSTEADY GAIT/BRAIN METS,1
DIARRHEA;DEHYDRATION;URINARY TRACT INFECTION,1
ARTHEROSCLEROSIS REST PAIN/SDA,1
HYPERCALCEMIA;METHICILLIN RESISTANT STAPH AUREUS,1
CHRONIC PROSTATITIS,1
S/P CARDIAC ARREST/CATH,1
CORONARY ARTERY DISEASE/CARDIAC CATH,1
GRAM NEGATIVE SEPSIS/LIVER MASS,1
GUILLAIN-BARRE,1
LIVER LESION,1
ASTHMA;FEVER OF UNKNOW ORIGIN,1
ACUTE RESPITORY DISTRESS;LUNG CANCER,1
MR\MITRAL VALVE REPLACEMENT; ASCENDING AORTA TO SUPRACILIAC AORTA BYPASS /SDA,1
CORONARY ARTERY DISEASE;CARDIOMYOPATHY\RIGHT AND LEFT HEART CATH,1
HYPERKALEMIA;MYOCARDIAL INFARCT;CHRONIC OBST PULM DISEASE;RENAL FAILURE,1
INGESTION;ALTERED MENTAL STATUS,1
CERVICAL TRACHEOBRONCHOMALASIA/SDA,1
PNEUMONIA;LINE INFECTION,1
"FOUND DOWN,SUB DURAL HEMATOMA",1
PARATONSILLAR ABSCESS,1
2ND DEGREE HEART BLOCK,1
HEPATOCELLULAR CARCINOMA 155.0\RADIOFREQUENCY ABLATION,1
HYPEROSMOLAR NON-KETOTIC HYPERGLYCEMIA,1
SEVERE GALLSTONE PANCRETITIS,1
CONGESTIVE HEART FAILURE;RIB FRACTURES,1
LEFT LOWER EXTREMITY ISCHEMIA,1
THORACIC AORTIC ULCERATION,1
COLO-VESICAL FISTULA S/P MYOCARDIAL INFARCTION,1
ULCER SEVERITY; RENAL FAILURE,1
RIGHT FEMORAL ARTERY STENOSIS/SDA,1
SUBARACHNOID HEMORRHAGE;INTRACRANIAL HEMORRHAGE,1
HYPOTENSION WITH HEMODIALYSIS,1
OSTEOARTHRITIS LEFT HIP/SDA,1
DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  *REMOTE WEST**/SDA,1
S/P PEDESTRIAN STRUCK-SUBARACHNOID HEMORRHAGE,1
"N/V/D, HYPOTENSION",1
COPD ASTHMA,1
"MULTIPLE FRACTURE,S/P FALL",1
CONGESTIVE HEART FAILURE;AFIB,1
CERVICAL RADICULOPATHY,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; X3/SDA,1
SPLENIC;LIVER LACERATION,1
ALCHOL WITHDRAWAL,1
SINUSITIS,1
MASTOCYTOSIS,1
CARDIOMYOPATHY;MI\CATH,1
COAGULATION MANAGEMENT,1
LEFT LOWER EXTREMITY CELLULITIS-S/P MOTOR VEHICLE CRASH,1
RIGHT HEEL GANGRENE,1
RIGHT SIDED INTERCRANIAL MASS/ICH,1
HYPERVILIRUBINEMIA,1
SYNCOPE\EP STUDY;PACEMAKER INSERTION,1
"PERIPHERAL VASCULAR DISEASE\LEEMAN,DAVID",1
CHEST PAI N,1
CLOTTED SVC,1
NON ISCHEMIC CARDIOMYPATHY;STATUS POST VENTRICULAR FIBRILLATION,1
MAST CELL CRISIS,1
TEMPORAL BONE FX,1
RIGHT HIP ANKYLOSIS/SDA,1
ISCHEMIC COLITIS/SDA,1
ICH VS STROKE,1
POLYTRAUMA-FACIAL TRAUMA,1
MITRAL REGURGITATION\MITRAL VALVE REPAIR; ? REPLACEMENT/SDA,1
UNRESPONSIVE HYPERKALEMIA,1
HEMATOCHROMATOSIS,1
SEVERE TRICUSPID REGURGITATION\ TRICUSPID VALVE REPLACEMENT/SDA,1
UROSEPSIS;PYELONEPHRITIS,1
"AORTIC INSUFFICIENCY\AVR, ? CORONARY ARTERY BYPASS GRAFT ",1
 CHARCOT DEFORMITY/DIABETIC MYELITIS/SDA,1
THEOCHROMOCYTOMA/SDA,1
SPINAL CORD INJURY;TELEMETRY,1
ATRIAL FIBRILLATION;VT,1
BP-FALLS,1
RENAL ARTERY STENOSIS\RENAL ANGIOPLASTY/SDA,1
LEFT UPPER LOBE LUNG NODULE/SDA,1
FOOT PAIN,1
ACUTE CORONARY SYNDROME;,1
STATUS POST MYOCARDIAL INFARCTION;CONGESTIVE HEART FAILURE\CARDIAC CATH;CORONARY ARTERY DISEASES STENT,1
PERITONSILAR CELLULITIS,1
RAPID ATRIAL FIBRILLATION;CORONARY ARTERY DISEASE;LATERAL ST DEPRESSION\CATH,1
CHF\BENTALL PROCEDURE; PROXIMAL ARCH/SDA,1
DILANTIN TOXICITY-MENTAL STATUS CHANGES,1
"BACTEREMIA,DIABETIC KETOACIDOSIS",1
S/P KIDNEY TRANSPLANT;BACTEREMIA,1
"MANIA, ANEMIA, LE EDEMA",1
CARDIAC ATRIUM NEOPLASM\LEFT ATRIAL MYXOMA RESECTION WITH POSSIBLE MVR  ,1
RESPIRATORY FAILURE;PNEUMONIA;CHRONIC OBST PULM DISEASE,1
HYPOXIA; PNEUMONIA; PULMONARY EDEMA,1
"STROKE,CARDIAC ARREST",1
FRONTAL BRAIN LESION/SDA,1
ORBITAL FRONTAL FX,1
DYSPNEA ON EXCERTION,1
ASCENDING AORTIC MASS,1
CONGESTIVE HEARTH FAILURE,1
OD/DKA,1
INOMINATE STENOSIS,1
S/P FALL;LEFT EPIDURAL HEMORRHAGE,1
CHF FLARE,1
SORE THROAT;HOARSENESS,1
RT UPPER EXTREMITY CRUSH INJURY,1
S/P MYOCARDIAL INFARCTION;CHEST PAIN;CORONARY ARTERY DISEASE\CATH,1
HIGH BLOOD PRESSURE;ABDOMINAL AORTIC ANEURYSM,1
"DIABETES, HYPERGLYCEMIA, PNEUMONIA",1
SPLENIC LACERATION;S/P MOTOR VEHICLE ACCIDENT,1
PEDESTRIAN VS. MOTOR VEHICLE;SUBARACHNOID HEMORRHAGE;C7 JOINT FRACTURE,1
RENAL CELL CARCINOMA\INTERLEUKIN-2,1
RESPIRATORY FAILURE-ANEMIA,1
FAILED BYPASS GRAFT LEFT LEG,1
DKA/ UGI BLEED,1
CATH LAB,1
CONGESTIVE HEART FAILURE;ELEVATED CREATININE,1
"DKA, ARF, CHOLECYSTITIS",1
CORONARY ARTERY DISEASE\STENT AND ANGIOPLASTY,1
MR\MITRAL VALVE REPLACEMENT; VIA STERNOTOMY/SDA,1
ACUTE RENAL FAILURE;HEPATIC CANCER,1
"ARF,HYPOTENION",1
S/P MOTOR VEHICLE ACCIDENT ROLLOVER;SUBDURAL HEMATOMA,1
PMNEUMONIA;ACUTE RENAL FAILURE,1
DIABETIC RENAL FAILURE,1
S/P KIDNEY TRANSPLANT;SEPSIS,1
UNABLE TO WALK,1
? GI BLEED,1
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT & TVR ? CORONARY ARTERY BYPASS GRAFT;REDO STERNOTOMY,1
CORD CONTUSION,1
WEAKNESS/UROSEPSIS,1
"ACUTE MI, MOTOR VEHICAL CRASH",1
"PNEUMONIA, HIV",1
MESTERIC ISCHEMIA;ABDOMINAL PAIN,1
DIVERTICULITIS WITH MICRO PERFORATION,1
WORSENING SUBDURAL HEMATOMA,1
ASTHMA COPD EXACERBATION,1
DIGOXIN TOXICITY; VENTRICULAR TACHYCARDIA,1
UPPER GI BLEED; HYPOTENSION,1
ACUTE RENAL FAILURE/LIVER FAILURE,1
HEPATIC LIVER FAILURE,1
HIGH INR,1
UNRESPONSIVE;ASPIRATION,1
RESPIRTORY FAILURE,1
TYPE 1 AORTIC DISSECTION,1
"C7,T1 FRACTURE",1
OVERDOSE;CHANGE IN MENTAL STATUS;TELEMETRY,1
ATRIAL SEPTAL DEFECT\MITRAL VALVE REPLACEMENT;REPAIR ATRIAL-SEPTAL DEFECT/SDA,1
ACUTE GI BLEED,1
BILIARY BRONCHIAL FISTULA,1
AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT; WITH AVR;MITRAL VALVE REPLACEMENT/SDA,1
? ISCHEMIC BOWEL,1
ACUTE MENTAL STATUS,1
ARTERIAL THROMBOSIS;TELEMETRY,1
PERIPHERAL VASCULAR DISEASE;CORONARY ARTERY DISEASE\PERIPHERAL ANGIOGRAM,1
"LT HIP FX, DIALYSIS",1
"ACUTE RENAL FAILURE,HYPONATREMIA",1
RESP. FAILURE; MULTIPLE SCLEROSIS,1
R/O MI; BRONCHITIS,1
VENOUS STASIS ULCER,1
KIDNEY STONES;S/P URINARY CATHERIZATION,1
OPEN LEFT TIB FIB FRACTURE,1
S/P SMALL BOWEL RESECTION,1
CONGESTIVE HEART FAILURE\BIVENTRICULAR PACEMAKER UPGRADE,1
LEUKOCYTOSIS;FEVER;INFECTION,1
RULE OUT INSULINOMA,1
"FEVER,LETHARGY",1
S/P MOTOR VEHICLE ACCIDNENT,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; ? OFF PUMP CORONARY ARTERY BYPASS/SDA,1
INTRDUCTAL PANCREATIC MUCINOUS TUMOR/SDA,1
"HEAMATOMA, CERVICAL FRACTURE",1
METASTATIC SARCOMA;SUPERIOR VENAL CAV SYNDROME,1
THYROID  MASS/SDA,1
S/P NECROTIZING FASCITIS,1
RESPSIRATORY FAILURE,1
AORTIC OCCLUSION/SDA,1
CARDIAC ARREST ,1
LYMPHOMA;SPLENOMEGALY,1
HYPONATREMIA;MALNUTRITION,1
TRAUMA;IPH,1
SPINAL DURAL FISTULA/SDA,1
LUNG MASS;CHORD COMPRESSION,1
RIGHT URETERAL STONE/SDA,1
PERICARDIAL EFFUSION/ PNEUMONIA,1
INTRACUTANEOUS FISTULA,1
"S/P MVA, FACIAL FRACTURE",1
URINARY TRACT INFECTION;DEHYDRATION;TROPONIN LEAK,1
LEFT OCCIPITAL LESION/SDA,1
"ATRIAL FIBRILLATION\THORACOSCOPIC MAZE PROCEDURE, BILATERAL/SDA",1
FEVERS;STERNAL WOUND DRAINAGE,1
FREE AIR ABDOMEN,1
DYSPNEA; TAMPONADE,1
INTRAPRAECHYMAL HEMORRHAGE,1
CLOTTED TIPS,1
AORTIC OBSTRUCTION\ DIVISION OF DOUBLE AORTIC ARCH/SDA,1
ANTICHOLINERGIC TOXICITY,1
INFECTED PROSTHESIS LEFT FEMUR/SDA,1
NEW ONSET CHF,1
AR\BENTALL PROCEDURE; **HOMOGRAFT**/SDA,1
AORTIC STENOIS/AORTIC VALVE REPLACEMENT; BENTAL PROCEDURE POSSIBLE MAZE\AORTIC VALVE REPLACEMENT? BENTAL PROCEDURE POSSIBLE MAZE/SDA,1
ACUTE MI',1
SEPSIS; BLADDER CANCER,1
HYPOTENSION;METHICILLIN RESISTANT STAPH AUREUS;VANCOMYCIN RESISTANT ENTEROCOCCUS,1
RIGHT ASPERGILOMA/SDA,1
THORACIC ANUERYSM/SDA,1
"T12 FRACTURE,MVC TRAUMA",1
ACUTE VIRAL HEPATITIS,1
PNEUMONIA/ COPD,1
JAUNDICE;INCREASED BILIRUBIN,1
CEREBRAL INFARCTION,1
TRACHEAL STENOSIS;BULBAR PALSY\BRONCHOSCOPY RIGID,1
STATUS POST CARDI ARREST,1
LEFT MAIN OCCULUSION,1
