diagnosis,category
SPINAL MENINGIOMA/SDA,neurological
ASTHMA;CHRONIC OBSTRUCTIVE PULMONARY DISEASE,respiratory
ABDOMINAL PAIN-ETOH WITHDRAWAL,psychiatric
ENCEPHLOPATHIC;RIGHT PLEURAL EFFUSION;ASCITIES,hepatobiliary
SPINAL EPIDURAL ABCESS,infectious
UNSTABLE ANGINA;CORONARY ARTERY DISEASE\ANGIOPLASTY WITH STENT,cardiovascular
MYOCARDIAL INFARCTION;STROKE,cardiovascular
HYPOKALEMIMA,endocrine_metabolic
VFIB,cardiovascular
CONGESTIVE HEART FAILURE;NON ST ELEVATION MI;RESPIRATORY DISTRESS,cardiovascular
INRESPONSIVE-LIVER FAILURE,hepatobiliary
CEREBROVASCULAR ACCIDENT;PNEUMONIA,neurological
AORTIC STENOSIS\ BENTAL PROCEDURE W/MECHANICAL VALVE/SDA,cardiovascular
LUNG NODLE/SDA,oncology
MITRAL STENOSIS\MITRAL VALVE REPAIR; TRICUSPID VALVE REPAIR; REDO STERNOTOMY; MAZE,cardiovascular
ANEMIA;ACUTE RENAL FAILURE;TELEMETRY,renal
UROSEPSIS-HYPOTENSION,infectious
MR\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,cardiovascular
? SEIZURE,neurological
AIRWAY OBSTRUCTION\FLEXIBLE BRONCHOSCOPY; RADIAL ENDOBRONCHIAL ULTRASOUND (EBUS); BRONCHIAL AVEOLAR LAVAGE/ BRUSH; POSSIBLE TRANSBRONCHIAL BIOPSY ( LEFT UPPER LOBE); FLUOROSCOPY,respiratory
CECUM POLYP/SDA,gastrointestinal
SEPTIC MENINGITIS,infectious
S/P MOTOR VEHICLE ACCIDENT WITH INJURIES;RIGHT FEMUR HEAD FRACTURE;DISLOCATION,trauma_injury
CVA;HYPOTENSION,neurological
FACIAL MASS RIGHT,other
ASTHMA FLARE;PNEUMONIA,respiratory
LEG PAIN;ELEVATED CREATININE,renal
SPINAL CORD INJURY;NSTEMI,trauma_injury
"SEVERE HYPERTENSION,PAIN CONTROL,PRESSURE CONTROL",cardiovascular
"SESIS,EMPYEMA",infectious
CHF\STATUS POST MITRAL VALVE REGURGITATION,cardiovascular
DYSPNEA\RIGHT + LEFT HEART CATH,cardiovascular
SYNCOPE-INTRACRANIAL BLEED,neurological
STRIDOR/SDA,respiratory
PLEURAL EFFUSION;ELEVATED BILIRUBIN,hepatobiliary
CONGESTIVE HEART FAILURE EXACERBATION;ACUTE CORONARY SYNDROME,cardiovascular
A/P ARREST,cardiovascular
LIVER & RENAL FAILURE-CHOLANGITIS,hepatobiliary
SEIZURE;URINARY TRACT INFECTION,neurological
DYSPNEA\CATH,cardiovascular
BRAIN TUMOR;HYPERNATREMIA;ALTERED MENTAL STATUS,oncology
PROFOUND DEHYDRATION,endocrine_metabolic
SUPAGLOTLITIS,infectious
ICD POCKET INFECTION AND LEAD REVISION\LEAD REVISION,infectious
POSTPARTUM CARDIOMYOPATHY;TELEMETRY,pregnancy_obstetric
ENCEPHELITIS,infectious
AIRWAY OBSTRUCTION-STERNAL INFECTION,infectious
AORTIC STENOSIS\ AORTIC VALVE REPLACEMEMT MINIMALLY INVASIVE,cardiovascular
? RHABDOMYLSIS,musculoskeletal
"CHANGE IN MENTAL STATUS,HYPERTENSIVE URGENCY",neurological
PANCREATIC CANCER;FEBRILE NEUTROPENIA,oncology
RIGHT CHEST WALL MASS/SDA,oncology
AIRWAY OBSTRUCTION/SDA\ BRONCHOSCOPY WITH STENT,respiratory
NAUSEA W\VOMITING;GASTROINTESTINAL BLEED,gastrointestinal
GASTROINTESTINAL BLEED;COPD EXACERBATION,gastrointestinal
PLEURAL EFFUSION;RENAL FAILURE,renal
BRAIN MASS;INTRACRANIAL HEMORRHAGE,neurological
REVASCULARZATION OF LEFT ARM,cardiovascular
POLYSUBSTANCE AABUSE,psychiatric
RIGHT LOWER LOBE;LARGE VOCAL CORD MASSES,oncology
ADENO CARCINOMA OF STOMACH/SDA,oncology
MENTAL STUATUS CHANGE RULE-OUT EPIDURAL ABCESS,neurological
BENIGN COLON TUMOR/SDA,oncology
LEFT FACIAL TUMOR/SDA,oncology
HYPOTENSION;ESLD,hepatobiliary
ANGINA;NEW EKG CHANGES\CARDIAC CATH,cardiovascular
CHEST PAIN; NON-Q WAVE MI,cardiovascular
IDIOPATHIC HYPERTROPHIC SUBAORTIC STENOSIS; VENTRICULAR FIBRILLATION\RIGHT VENTRICULAR LEAD EXTRACTION AND REPLACEMENT/SDA,cardiovascular
RT UPPER EXTREMITY SWELLING,other
ASTHMA/COPD/EXACERBATION,respiratory
ITRAPERITONEAL BLEED,trauma_injury
"AORTIC VALVE INSUFFICENCY\BENTAL PROCEDURE, ? VALVE SPARING ROOT REPLACEMENT/SDA",cardiovascular
PNEUMONIA;RAPID AF;HYPOXIA,infectious
ST ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; MYOMECTOMY/SDA,cardiovascular
C-SPINE FRACTURES,trauma_injury
CHIARI I MALFORMATION/SDA,neurological
PNEUMOTHORAX-FRACTURED RIBS,trauma_injury
INTER PARANCHMAL HEMORRHAGE,neurological
CORONARY ARTERY DISEASE & MITRAL REGURGITATION\ CORONARY ARTERY BYPASS GRAFT W/MVR/SDA,cardiovascular
LOWER GI BLEEED,gastrointestinal
AORTIC VALVE INSUFFICIENCY\AVR;? BENTAL PROCEDURE /SDA,cardiovascular
"PERICARDIAL EFFUSION,SEPSIS",cardiovascular
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT/REPAIR HEART PORT MINIMALLY INVASIVE VS STERNOTOMY/SDA,cardiovascular
CONGESTIVE HEART FAILURE\EPICARDIAL LEFT VENTRICULAR LEAD PLACEMNT /SDA,cardiovascular
MITRAL VALVE DISORDER \MITRAL VALVE REPLACEMENT; TRICUSPID VALVE REPLACEMENT; REDO STERNOTOMY/SDA,cardiovascular
RAPID  AFIB;UTI,cardiovascular
"DKA, SEPSIS",endocrine_metabolic
SHORTNESS OF BREATH;HYPOXIA;TELEMETRY,respiratory
PLEURAL EFFUSION-CHEST PAIN,respiratory
UNSTABLE ANGINA;GASTROINTESTINAL BLEED;TELEMETRY,cardiovascular
ALCOHOL WITHDRAWAL;HYPONATREMIA,psychiatric
UROSEPSIS;RESPIRATORY DISTRESS,infectious
CHF\ AORTIC VALVE & MITRAL VALVE REPLACEMENT/SDA,cardiovascular
RENAL FAILURE; RESPIRATORY FAILURE,renal
ANEMIA-ACUTE RENAL FAILURE,renal
NAUSEA;VOMITING;JAUNDICE,gastrointestinal
"RECTAL CARCINOMA, DISTAL/SDA",oncology
"LUNG CANCER,NAUSEA,VOMITING",oncology
MASTOIDITIS. R. FACIAL MASS,infectious
AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT ? MAZE,cardiovascular
CEREBRAL ANEURYSM;FIBROMUSCULAR DYSPLASIA/SDA,neurological
FACIAL FX;MOTOR VEHICLE ACCIDENT,trauma_injury
CHIARI MALFORMATION SYRINGOMYELIA/SDA,neurological
RUE INFECTION,infectious
HIGH WBC;TELEMETRY,hematologic
CHOKING/RESPIRATORY ARREST,respiratory
CONGESTIVE HEART FAILURE\RIGHT HEART CATH;SWAN LINE,cardiovascular
TRIGEMINAL NEURALGIA RIGHT SIDE/SDA,neurological
AORTIC  MASS\ ATRIAL MYXOMA REMOVAL; EXCISION AORTIC MASS/SDA,cardiovascular
COMPLATE HEART BLOCK;SEPSIS;TRICUSPID VEGETETION\EPICARDIAL PACEMAKER IMPLANT,cardiovascular
MENTAL STATUS CHANGES-DECREASED SATS,symptoms_unspecified
CAROTID STENOSIS;CORONARY ARTERY DISEASE\CAROTID ANGIOGRAM;CATH,cardiovascular
S/P ARREST;COPD FLARE,respiratory
UPPER GASTROINTESTINAL BLEED;PNEUMONIA,gastrointestinal
PUMONARY NODULES/SDA,respiratory
CONGESTIVE HEART FAILURE;COMPLETE HEART BLOCK;ATRIAL FIBRILLATION\BIVENTRICULAR PACEMAKERIMPLANT/SDA,cardiovascular
PEERFORATION,other
OPEN WOUND OF CHEST/SDA,trauma_injury
DEHYDRATION;RENAL FAILURE;HYPO MASS,renal
BILIARY CIRRHOSIS;RULE OUT TUBERCULOSIS,hepatobiliary
METASTATIC LYMPHOMA,hematologic
C1-2 INSTABILITY/SDA,musculoskeletal
ANXIETY,psychiatric
HYPERTENBSIVE EMERGENCY,cardiovascular
MELANOTIC STOOL,gastrointestinal
R/O UROSEPSIS,infectious
INCREASED INTRAOCULAR PRESSURES,other
AORTIC VALVE INSUFFICIENCY\AORTIC VALVE /? ASCENDING AORTA REPLACEMENT /SDA,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; REPAIR ATRIAL SEPTAL DEFECT /SDA,cardiovascular
GASTRIC MASS,gastrointestinal
"HIP FRACTURE,R/O MI",trauma_injury
PNEUMOTHORAX; PULMONARY CONTUSION,respiratory
S/P JET SKI ACCIDENT,trauma_injury
SECONDARY MALIGNANT NEOPLASM OF BONE AND BONE MARROW/SDA,oncology
"SHORTNESS OF BREATH,LUNG CANCER",oncology
LEFT SHOULDER ROTATOR CUFF TEAR/SDA,musculoskeletal
ACUTE SUBDURAL HEMATOMA;SUBARACHNOID HEMORRHAGE;SKULL FX,neurological
INFECTED L BKA STUMP,infectious
CERVICAL OSTEOMYELITIS AND NON UNION/SDA,musculoskeletal
LEFT MAIN ARTERY DISEASE,cardiovascular
MITRAL VALVE DISORDER\MITRAL VALVE REPLACEMENT; ? AORTIC VALVE REPLACEMENT/SDA,cardiovascular
CORONARY ARTERY DISEASE;MITRAL STENOSIS,cardiovascular
SMALL BOWEL OBSTRUCTION;CHRONIC OBST PULM DISEASE,gastrointestinal
STE MI\CATH,cardiovascular
LEFT HUMERUS FRACTURE/SDA,trauma_injury
THORACIC ANEURYSM WITHOUT RUPTURE\AORTIC VALVE REPLACEMENT /SDA,cardiovascular
RECURRENT CHEST PAIN;DYSPNEA ON EXERTION;CORONARY ARTERY DISEASE\CARDIAC CATHETERIZATION,cardiovascular
SYMPTOMATIC FIBROIDS UTERUS/SDA,pregnancy_obstetric
BRADYCARDIA;DIZZINESS,cardiovascular
LUNG CANCER-AIRWAY OBSTRUCTION,oncology
"SEPSIS;TELEMETRY;FEVER,UNKNOWN ORIGIN",infectious
SEPSIS/CELLULITIS,infectious
ATRIAL SEPTIC DEFECT\REPAIR ATRIAL SEPTAL DEFECT;MINIMALLY INVASIVE /SDA,cardiovascular
?AORTIC DISSECTION,cardiovascular
RIGHT LUNG TUMOR/SDA,oncology
STROKE;TELEMETRY;TRANSIENT ISCHEMIC ATTACK;SHINGLES,neurological
ANTERIOR MI\LEFT HEART CATH,cardiovascular
PULMONARY INFUSION,respiratory
CHOLANGIO CNACER,hepatobiliary
HYPERNATREMIA;HYPERGLYCEMIA,endocrine_metabolic
RO/MI,cardiovascular
"STROKE,HEAD BLEED",neurological
SEVER AORTIC INSUFFICIENCY\AORTIC VALVE REPLACEMENT; PATENT FORAMEN CLOSURE; AORTIC ROOT REPLACEMENT /SDA,cardiovascular
MITRAL VALVE LEAFLET\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,cardiovascular
GI BLEED;SEPSIS,gastrointestinal
MITRAL STENOSIS\MITRAL VALVE REPLACEMENT; ? AORTIC VALVE REPLACEMENT,cardiovascular
"PNEUMONIA, HYPOTENSION",infectious
"BACK PAIN,CANNOT AMBULATE",musculoskeletal
HYPONATREMIA;HYPOTHERMIA,endocrine_metabolic
CORONARY ARTERY DISEASE;CHEST PAIN\CORONARY ANGIOPLASTY (PTCA),cardiovascular
VT;SYNCOPE,cardiovascular
SEVERE AORTIC STENOSIS;CONGESTIVE HEART FAILURE\CATH/SDA,cardiovascular
INTRACRANIAL HEMORRHAGE;RESPIRTORY FAILURE,neurological
BLEEDING GUMS,hematologic
RIGHT COLON MASS;ASCITES,gastrointestinal
CRITICAL AORTIC STENOSIS;CARDIOGENICSHOCK;CONGESTIVE HEART FAILURE,cardiovascular
RIGHT FRONTAL LOBE STROKE,neurological
FEMUR FRACTURE;RAF,trauma_injury
SYNCOPE-VTACH,cardiovascular
S/P FALL-HEMOTHORAX-SPINE FRACTURE,trauma_injury
SEIZURE;SEPSIS,neurological
ATRIAL FIBRILLATION;PERICARDIAL EFFUSION,cardiovascular
RIGHT CAROTID STENOSIS;CHRONIC RENAL INSUFFCIENCY\RIGHT CAROTID ANGIOGRAM,cardiovascular
WOUND INFECTION'OSTEOMYELITIS,infectious
S/P RENAL STENT PLACEMENT,renal
S/P MOTOR VEHICLE ACCIDENT;HEMOTHORAX,trauma_injury
28 WEEKS PANCREATIC CANCER,oncology
CARCINOMA OF ANTERIOR MEDIASTINUM INVADING CHEST WALL/SDA,oncology
ISCHEMIC CARDIOMYOPATHY\CATH,cardiovascular
GASTROINTESTINAL BLEED;NON-ST ELEVATION MYOCARDIAL INFARCTION,cardiovascular
CEREBRAL METASTASES;BRAIN TUMOR,oncology
LUNG CANCER;TRACEAL FISTULA,oncology
CORONARY ARTERY DISEASE;PVD\CATH AND L SFA INTERVENTION,cardiovascular
NECK MASS/SDA,other
LUNG MA/SDA,oncology
UTI/ETOH WITHDRAWL/R HIP FX,genitourinary
GANGRENE OF SCROTUM,genitourinary
OCCIPITAL FRACTURE;SUBARACHNOID HEMATOMA;SYNCOPE,trauma_injury
AORTIC INSUFFICIENCY\AORTIC VALVE REPLACEMENT/SDA,cardiovascular
ASTHMA/COPD EACERBATION,respiratory
EPIDURAL FLUID COLLECTION,neurological
HAMATEMESIS;UPPER GASTROINTESTINAL BLEED,gastrointestinal
FEVER;NAUSEA;ABDOMINAL PAIN,symptoms_unspecified
CHF/CAD/BRADYCARDIA/S/P CABG\DDD PACER/DC CV/SDA,cardiovascular
CHRONIC OBST PULM DISEASE;ASTHMA;CONGESTIVE HEART FAILURE,respiratory
S/P FALL;DEHYDRATION;ALTERED MENTAL CHANGES,symptoms_unspecified
CLAUDICATION;ELEVATED CREATININE;RENAL FAILURE,renal
STATUS POST ESIPHAGOGASTRODUODENOSCOPY,postoperative_surgical
AORTIC INSUFFICIENCY\AORTIC VALVE / ASCENDING AORTA REPLACEMENT,cardiovascular
MR\MITRAL VALVE REPLACEMENT; ?AORTIC VALVE REPLACEMENT; ?CORONARY ARTERY BYPASS GRAFT,cardiovascular
DISEASES OF TRICUSPID VALVE\TRICUSPID VALVE REPLACEMENT  ? CORONARY ARTERY BYPASS GRAFT  EPICARDIAL PACE MAKER/SDA,cardiovascular
ACUTE ASTHMA EXACERBATION,respiratory
S/P MVA;MULTIPLE FRACTURES,trauma_injury
?TB;SHORTNESS OF BREATH,infectious
LARGE & SMALL BOWEL OBSTRUCTIONS,gastrointestinal
MITRAL REGUGITATION,cardiovascular
SEPTIC BURSITIS;RESPIRATORY DISTRESS;CONGESTIVE HEART FAILURE,infectious
PRIMARY SCLEORSING CHOLANGITIS,hepatobiliary
TRACHEAL-BRONCHIO MALACEA/SDA,respiratory
MITRAL REGURGITATION\ MITRAL VALVE REPLACEMENT; POSSIBLE CORONARY ARTERY BYPASS GRAFT; POSSIBLE RESECTION SUB AORTIC MUSCLE/SDA,cardiovascular
CORONARY ARTERY DISEASE\ANGIOPLATY W/ STENT PLACEMENT OF LEFT CIRCUMFLEX,cardiovascular
UROSEPSIS;HYPOTHERMIA,infectious
CONGESTIVE HEART FAILURE;URINARY TRACT INFECTION;PNEUMONIA,cardiovascular
CARDIOMYOPATHY\ETHYANOL SEPTAL ABLATION STAND BY,cardiovascular
CONGESTIVE HEART FAILURE-ATRIAL FIBRILLATION,cardiovascular
MALIGNANT MELANOMA; SEIZURES,oncology
CAROTID STENOSIS;SYNCOPAL EPISODES\LEFT INTERNAL CAROTID ARTERY ANGIOGRAM;STENT PLACEMENT,cardiovascular
BRADYCARDIA;UTI,cardiovascular
INFERIOR MYOCARIDL INFARCTION/CATH,cardiovascular
THROMBOCYTOPENIA;SYNCOPE,hematologic
MULTIPLE GUN SHOT WOUNDS,trauma_injury
INFERIOR MI;TELEMETRY,cardiovascular
RIGHT FRONTAL LESION/SDA,neurological
HYPOXIA/HYPERCAPNIA,respiratory
"CHF, CHEST PAIN",cardiovascular
ACUTE MYELOGENOUS LEUKEMIA\BONE MARROW TRANSPLANT,hematologic
THORACO ABDOMINAL ANEURYSM\ THORACO ABDOMINAL ANEURYSM REPAIR,cardiovascular
ASTHMA/COPF EXACERBATION,respiratory
DRUG REFRACTORY ATRIAL FIBRILLATION\LEFT ATRIAL TACHYCARDIA ABLATION ? PVI **REMOTE WEST** /SDA,cardiovascular
S/P KIDNEY TX,renal
UROSEPSIS-ANEMIA-ACUTE RENAL FAILURE,renal
PULMONARY HEMMORHAGE,respiratory
CAROTID STENOSIS\R CARITID ANGIOGRAM AND STENT,cardiovascular
OVERDOSE/ SUICIDIAL IDEATION,psychiatric
"MR\MITRAL VALVE REPLACEMENT REDO, ? MYOMECTOMY/SDA",cardiovascular
PULMONARY INFILTRATES,respiratory
AORTIC VALVE,cardiovascular
SEPSIS;VOMITING;DIARRHEA,infectious
RULE OUT CORONARY ARTERY DISEASE;DEPRESSED LEFT VENTRICULAR FUNCTION\CARDIAC CATH RIGHT AND LEFT,cardiovascular
TRAUMATIC LEFT ARM AMPUTATION,trauma_injury
FEVER;RESPIRATORY DISTRESS,respiratory
SLENIC LACERATION;TELEMETRY,trauma_injury
INTRAVETEBRAL SUBARACHNOID BLEED,neurological
THORACIC AORTIC ANEURYSM WITHOUT RUPTURE\BENTAL PROCEDURE; VENTRAL SEPTAL DEFECT REPAIR; REPAIR PARTIAL ANOMALOUS PULMONARY VENOUS RETURN/SDA,cardiovascular
PANCREATIC MASS\EUS,oncology
PERITONSILLAR PHELEGMON,infectious
"HYPOTENSION;FEVER,ETIOLOGY UNKNOWN",other
ALTERED MENTAL STATUS-HEAD BLEED,neurological
TRACHEALMALACEA\BRONCHOSCOPY RIGID;STENT REMOVAL/SDA,respiratory
STATUS POST KIDNEY TRANSPLANT;ELEVATED CREATININE,renal
OPEN WOUND CHEST,trauma_injury
CORONARY ARTERY DISEASE;EXERCIONAL DYSPNEA\CATH,cardiovascular
S/P FALL;FACIAL FRACTURE,trauma_injury
RIGHT LOWER LOBE PNEUMONIA,infectious
"STROKE,TIA",neurological
MEDISTINAL ADENOPATHY,oncology
CHEST PAIN; SOB\CATH,cardiovascular
PULMONARY EDEMA;MYOCARDIAL INFARCTION,cardiovascular
T9 FRACTURE,trauma_injury
METASTATIC PANCREATIC CANCER TO LIVER/SDA,oncology
RETROPERITONEAL AND URINARY BLEEDS,genitourinary
CORONARY ARTERY DISEASE;+ ETT\CATH,cardiovascular
MENIGITIS,infectious
HIV;R/O LUKEMIA,infectious
RECURRENT MENINGIOMA/SDA,oncology
VENTRICULAR TCHYCARDIA,cardiovascular
"RESPIRATORY FAILURE,GI BLEED",respiratory
MULTIPLE PULMONARY MBOLI,cardiovascular
CARDIOMYOPATHY\LEAD EXTRACTION;BIVENTRICULAR ICD IMPLANT,cardiovascular
NON ST ELEVATION MYOCARDIAL INFARCTION/CATH,cardiovascular
PNEUMONIA; SEPSIS; POSSIBLE CHF,infectious
ARF,renal
FEVER;PANCYTOPENIA;CHRONIC LYMPHOCYTIC LEUKEMIA,hematologic
SHORTNESS OF BREATH;HYPERKALEMIA;TELEMETRY,symptoms_unspecified
ENCEPHALOPATHY;SEPTIC SHOCK,neurological
ISCHEMIA LEFT TOE,cardiovascular
AORTIC VALVE DISORDER\REDO AVR ? BENTAL PROCEDURE /SDA,cardiovascular
MANDIBULAR MASS,other
S/P MOTOR VEHICLE ACCIDENT; SUBARACHNOID HEMORRHAGE; C2 FRACTURE,trauma_injury
MITRAL DISORDER\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
CORONARY ARTERY DISEASE;CHF\BENTAL PROCEDURE  CORONARY ARTERY BYPASS GRAFT  AORTIC AND MITRAL VALVE REPLACEMENT /SDA,cardiovascular
MITRAL REGURGITATION;TRICUSPID REGURGITATION;AORTIC INSUFFICIENCY\SWAN GANZ CATHETER PLACEMENT/SDA,cardiovascular
DIZZINESS;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,symptoms_unspecified
GILLIAM BARRE SYNDROME,neurological
EXERTIONAL CHEST PAIN\LEFT HEART CATH,cardiovascular
"PNEUMONIA,SICKLE CELL DIZZENESS",infectious
ELEVATED BLOOD PRESSURE,cardiovascular
POLYMORPHIC V TACH\CATH,cardiovascular
SEIZURE;HYPONATREMIA,neurological
MITRAL STENOSIS\MITRAL VALVE REPAIR ? REPLACEMENT /SDA,cardiovascular
PCA ANEURYSM/SDA,neurological
S/P FALL;HEAD LACERATION,trauma_injury
ANEMIA;OBSTRUCTING COMMON BILE DUCT,hematologic
"FEVER,ABD PAIN",infectious
"PNEUMONIA,TACHYCARDIA",infectious
NECK INFECTION,infectious
RIGHT ANTERIOR CEREBRAL ARTERY STROKE,neurological
R/O MI N/V,symptoms_unspecified
RIGHT ANKLE FRACTURE-NECROSIS,trauma_injury
AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT  ? CORONARY ARTERY BYPASS GRAFT,cardiovascular
BLEEDING FROM DIALYSIS CATHETER,renal
ALLERGIC/ANAPHYLACTIC REACTION,other
BILATERAL HIP FRACTURES,trauma_injury
OVERMEDICATED,toxicology_poisoning
MITRAL VALVE INSUFFICENCY\MITRAL VALVE REPLACEMENT;?TRICOUSTID VALVE REPLACEMENT/SDA,cardiovascular
HYDRATION;DROP IN HEMACRIT,other
T SPINE FRACTURE,trauma_injury
"LEG ULCER,END STAGE RENAL DISEASE,DIABETES",renal
"CHF,FEVER",cardiovascular
GROIN CELLULITIS,infectious
LUNG ABSCESS;FAILURE TO THRIVE,infectious
METASTATIC LUNG CANCER LEFT/SDA,oncology
S/P PULSELESS ELECTRICAL ACTIVITY; R/O MI,cardiovascular
NON ISCHEMIC IDIOPATHIC CARDIOMYOPATHY,cardiovascular
DEHYDRATION;EXTERNAL HEMORRHOIDS,gastrointestinal
AORTIC & MITRAL STENOSIS\ AORTIC & MITRAL VALVE REPLACEMENT/SDA,cardiovascular
ACUTE PULMONARY EMBOLISM,cardiovascular
MYOCARDIAL INFARCT;TELEMETRY,cardiovascular
"ACUTE RENAL FAILURE, UREMIC SYNDROME",renal
RESPIRATORY FAILURE;LEAKING J TUBE,respiratory
SYNCOPY\LEFT HEART CATHETERIZATION,cardiovascular
TYPHLITIS,gastrointestinal
ACUTE MYOCARDIAL INFARCTION\CARD CATH,cardiovascular
"ACUTE RENAL FAILURE,HYPOXIA",renal
LEFT INTRAPARENCHYMAL HEMORRAHGE,neurological
ABDOMINAL PAIN;VOMITING;INSULIN DEPENDENT DIABETES,endocrine_metabolic
ALVEOLAR HEMORRHAGE,respiratory
CONGESTIVE HEART FAILURE/MITRAL REGURGITATION,cardiovascular
NECROTIZING FASCIATIS,infectious
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT: ? TRICUSPID VALVE REPLACEMENT/SDA,cardiovascular
MYOCARDIAL INFARCTION;MYOCARDITIS,cardiovascular
CORONARY ARTERY DISEASE\HIBRID MINIMALY INVASIVE CORONARY ARTERY BYPASS GRAFT AND CORONARY STENTING /SDA,cardiovascular
R HIP FX,trauma_injury
PANCREATIC DUCT CANCER/SDA,oncology
MULTIPLE MYELOMA;TRANSPLANT,hematologic
SEPSIS;RECTAL MASS,infectious
SEIZURE;BRAIN & LUNG MASSES,neurological
SUBARACHNOID HEMORRAHAGE,neurological
STATUS EPILEPTICUS,neurological
FEMORAL FRACTURE,trauma_injury
FEVER;DIABETIC KETOACIDOSIS,endocrine_metabolic
S/P INFARCT\CARDIAC CATH,postoperative_surgical
RT FOOT ISCHEMIA,cardiovascular
MYOCARDIAL INFARCT;SEPSIS;MENTAL STATUS CHANGES,cardiovascular
AUXILLARY BYPASS FEMORAL BLEEDING,postoperative_surgical
CORONARY ARTERY DISEASE;AVR,cardiovascular
UROSEPSIS;DIABETIC KETOACIDOSIS,infectious
S/P MVA;MYOCARDIAL INFARCTION,trauma_injury
HEART FAILURE;FEVER;ABDOMINAL PAIN,cardiovascular
ATRIAL FLUTTER\ATRIAL VENTRICULAR JUNCTION ABLATION;BIVENTRICULAR IMPLANTABLE CARDIAC DEFIBRILLATOR INPLANT/SDA,cardiovascular
AMPULLARY MASS,oncology
LM DISEASE\BALOON PUMP,cardiovascular
FAILED TOTAL HIP LEFT/SDA,postoperative_surgical
CARDIOMYOPATY/PULMONARY EDEMA,cardiovascular
DEHYDRATION;EDEMA;FAILURE TO THRIVE,other
HAND LACERATION;PARTIAL FINGER AMPUTATION,trauma_injury
AORTIC STENOSIS\? CORONARY ARTERY BYPASS GRAFT;  AVR /SDA,cardiovascular
CONGESTIVE HEART FAILURE;ALTERED MENTAL STATUS,cardiovascular
PNEUMONNIA;? LUNG ABSCESS;ADULT RESPIRATORY DISTRESS SYNDROME,infectious
UROSEPSIS-CHANGE IN MENTAL STATUS,infectious
UMBILICAL HERNIA;ASCITES LEAK,gastrointestinal
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT; W/RIGHT THORACTOMY MAZE,cardiovascular
ACUTE SHORTNESS OF BREATH;CONFUSION,symptoms_unspecified
PULMONARY HYPERTENSION;SYSTEMIC SCLEROSIS;ENDSTAGE CHF;ELEVATED INR\RIGHT HEART CATH/SDA,cardiovascular
COLONIC DISTENTION,gastrointestinal
AIRWAY OBSTRUCTION\BRONCHOSCOPY W/STENT REMOVAL,respiratory
STATUS POST ASSAULT,trauma_injury
S/P KIDNEY TRANSPLANT;INCREASED CREATINE,renal
S/P V TACH ARREST,cardiovascular
HEMOPTYIS,respiratory
RIGHT PELELLAR FRACTURE;LEFT TIBILAR FRACTURE,trauma_injury
SPONTANEOUS SAH,neurological
GANGRENE OF THE TOE,other
VENTRICULAR FIBRILLATION ARREST\CATH,cardiovascular
SYSTOLIC DYSFUNCTION\CATH,cardiovascular
AFIB-CONGESTIVE HEART FAILURE\CARDIAC  CATH,cardiovascular
GALLBLADDER SEPSIS,infectious
PANCEREATITIS\ERCP,gastrointestinal
"HEMOPTYSIS,LUNG CA",oncology
ISCHEMIC LEG LEFT/SDA,cardiovascular
ULCERATIVE COLITIS;PNEUMONIA,gastrointestinal
SAH/HYPERTENSION,neurological
LIVER LESION\RADIOFREQUENCY ABLATION LIVER LESION ** REMOTE WEST **,oncology
THORACIC ANEURYSM WITHOUT MENTION OF RUPTURE\REPAIR DECENDING AORTIC THORACIC ANEURYSM; ILIAC STENTING LEFT/SDA,cardiovascular
JNATHJW8,other
HEMMORHAGIC SHOCK,other
B/L DVTS,hematologic
MITRAL VALVE INSUFFICIENCY\MITRAL VALVE REPLACEMENT ? TRICUSPID VALVE REPLACEMENT,cardiovascular
R/O CAD; CARDIAC CATH,cardiovascular
UNSATABLE ANGINA,cardiovascular
ATRIAL FIBRILLATION;DECREASED EJECTION,cardiovascular
INCREASED ANGINA;CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,cardiovascular
NON Q MI;PULMONART EDEMA\CATH,cardiovascular
ENTEROCUTANEUS FISTULA,gastrointestinal
EPIDURAL HEMATOMA;TELEMETRY,neurological
UROSEPSIS;NEPHROLITHIASIS,genitourinary
ATHEROSCLEROSIS;CLAUDICATION,cardiovascular
HARDWARE FAILURE; SPINAL METASTASIS/SDA,oncology
STERNOTOMY WOUND INFECTION,postoperative_surgical
STOMACH POLYP\ENDOSCOPY,gastrointestinal
DYSPNEA SUSPECTED PE.,respiratory
INTESTINAL VESICAL FISTULA/SDA,genitourinary
